"Rank","Name","Symbol","marketcap","price (USD)","country"
"103","X-Legend Entertainment","4994.TW","211548153","3.18676","Taiwan"
"104","Azerion Group","AZRN.AS","211088310","1.75496","Netherlands"
"105","Softstar Entertainment","6111.TWO","210875093","2.09285","Taiwan"
"106","UNITED","2497.T","207351375","5.28848","Japan"
"107","PlaySide Studios","PLY.AX","201499532","0.493083","Australia"
"108","Shen Zhen Shengxunda Technology (gamexun)","300518.SZ","193931910","0.972519","China"
"109","FuRyu","6238.T","179490098","6.78858","Japan"
"110","Bushiroad","7803.T","177118501","2.52983","Japan"
"111","FriendTimes","6820.HK","175933553","0.080672","China"
"112","People Can Fly","PCF.WA","169169522","4.70696","Poland"
"113","Ten Square Games","TEN.WA","159294546","21.7176","Poland"
"114","Bank of Innovation","4393.T","154862547","38.9644","Japan"
"115","Boyaa Interactive","0434.HK","149013314","0.210003","China"
"116","Enad Global 7","EG7.ST","141870668","1.60119","Sweden"
"117","Digital Bros","DIB.MI","139788908","9.79943","Italy"
"118","Userjoy Technology","3546.TWO","139349826","2.75471","Taiwan"
"119","Archosaur Games","9990.HK","133958202","0.167747","China"
"120","Drecom","3793.T","132373366","4.53208","Japan"
"121","Chinese Gamer International","3083.TWO","130628764","1.51065","Taiwan"
"122","Bragg Gaming Group","BRAG","130361456","5.53","Canada"
"123","Frontier Developments","FDEV.L","125293478","3.17816","United Kingdom"
"124","Skillz","SKLZ","119900168","6.65","United States"
"125","Nacon","NACON.PA","118848642","1.34075","France"
"126","Wayi International Digital Entertainment","3086.TWO","116121152","4.91803","Taiwan"
"127","gumi","3903.T","111672583","2.2565","Japan"
"128","Bloober Team","6BO.SG","111540920","5.25398","Poland"
"129","MacroWell OMG Digital Entertainment","3687.TWO","90451728","3.00904","Taiwan"
"130","Creepy Jar","CRJ.WA","87895971","125.68","Poland"
"131","Ateam","3662.T","87074082","4.69099","Japan"
"132","G5 Entertainment","G5EN.ST","85999840","11.027","Sweden"
"133","BAIOO Family Interactive","2100.HK","85345714","0.0297078","China"
